# sent_id = 1084-1
# text = alexandre kalil anuncia fechamento de o comércio em belo horizonte a partir de sábado (janeiro de 222)
1	alexandre	SYM	44.47%
2	kalil	X	49.28%
3	anuncia	VERB	99.99%
4	fechamento	NOUN	100.00%
5	de	ADP	100.00%
6	o	DET	100.00%
7	comércio	NOUN	100.00%
8	em	ADP	100.00%
9	belo	ADJ	99.99%
10	horizonte	NOUN	100.00%
11	a	ADP	100.00%
12	partir	VERB	99.99%
13	de	ADP	100.00%
14	sábado	NOUN	99.99%
15	(	PUNCT	100.00%
16	janeiro	NOUN	100.00%
17	de	ADP	100.00%
18	222	NUM	100.00%
19	)	PUNCT	100.00%

# sent_id = 1084-2
# text = belo horizonte e são números absolutamente assustadores como nós não fechamos a cidade e em o dia seguinte o número caiu um por cento eu pessoalmente fui tomado por um otimismo enganoso o e perigoso mas hoje e nós detectamos uma alta de sete porcento em os nossos números e isso em os põe e em sinal de alerta máximo e nós vamos aqui diz é o seguinte e sem muita expectativa voltamos a a estaca zero zero não sei que cor que é não mas só abre serviços essenciais a partir de sábado amanhã e as 14 horas bom então nós vamo trancar cidade novamente porque nós não sabemos a há tradições até de os próprios médicos , o que há uma conversa que dois terços de a infecção de belo horizonte são de a nova cepa e o mais grave hoje nós temos quatro crianças crianças internadas com covid eu não tô falando mais de jovens de 4 3 35 não crianças e internados então nós mudamos de patamar porque a morte de 95 98 99 por mais que doa em a família e não é a morte de 4 de 34 de três ou de dois anos não é então provar questão de responsabilidade por uma questão de números números seguindo a mesma metodologia de a prefeitura não mudou em nada e caindo em dois vermelhos e não vamos esperar perder o controle de a cidade e para poder tomar qualquer atitude temos a colaboração de a polícia militar de minas gerais de a guarda municipal de a fiscalização tanto sanitária quanto de a política urbana e vamos atuar seriamente em tudo isso antes de terminar eu gostaria de dizer o seguinte é preciso de a colaboração de as cidades que rodeiam belo horizonte precisamos eu peço a os prefeitos , eu só não consegui ligar para ele porque a notícia foi agora tá certo e essa doença parece que ela não é contada em dia contada em hora e eu ainda não conseguia comunicar com todos faço isso através de vocês nós precisamos de tomar atitudes nós precisamos a os prefeitos de o interior como de a capital e o dico a população entende a população compreende a população inteligente ela quer viver e eu tenho um dado matemático para isso foi eleito em plena pandemia em o primeiro turno tendo uma de as medidas mais duras contra a morte que esse país já viu bom então a população entende a respeito de escolas eu quero dizer o seguinte eu faço questão de mandar tirar aquela placa que tem em a porta de a prefeitura um ano sem escola recebi a notícia hoje 2 professoras infectadas em são paulo
1	belo	ADJ	99.96%
2	horizonte	NOUN	99.99%
3	e	CCONJ	99.98%
4	são	AUX	99.99%
5	números	NOUN	100.00%
6	absolutamente	ADV	99.99%
7	assustadores	ADJ	99.99%
8	como	SCONJ	99.25%
9	nós	PRON	99.99%
10	não	ADV	99.99%
11	fechamos	VERB	99.99%
12	a	DET	100.00%
13	cidade	NOUN	100.00%
14	e	CCONJ	99.98%
15	em	ADP	100.00%
16	o	DET	100.00%
17	dia	NOUN	99.99%
18	seguinte	ADJ	99.99%
19	o	DET	100.00%
20	número	NOUN	100.00%
21	caiu	VERB	99.99%
22	um	NUM	100.00%
23	por	ADP	100.00%
24	cento	NOUN	86.04%
25	eu	PRON	99.99%
26	pessoalmente	ADV	99.99%
27	fui	AUX	99.99%
28	tomado	VERB	99.99%
29	por	ADP	100.00%
30	um	DET	100.00%
31	otimismo	NOUN	100.00%
32	enganoso	ADJ	99.99%
33	o	PRON	99.74%
34	e	AUX	99.03%
35	perigoso	ADJ	99.99%
36	mas	CCONJ	99.90%
37	hoje	ADV	99.99%
38	e	CCONJ	99.98%
39	nós	PRON	99.99%
40	detectamos	VERB	100.00%
41	uma	DET	100.00%
42	alta	NOUN	100.00%
43	de	ADP	100.00%
44	sete	NUM	100.00%
45	porcento	NOUN	99.99%
46	em	ADP	100.00%
47	os	DET	100.00%
48	nossos	DET	100.00%
49	números	NOUN	100.00%
50	e	CCONJ	99.98%
51	isso	PRON	99.99%
52	em	ADP	100.00%
53	os	PRON	99.49%
54	põe	VERB	99.99%
55	e	CCONJ	99.98%
56	em	ADP	100.00%
57	sinal	NOUN	100.00%
58	de	ADP	100.00%
59	alerta	NOUN	99.99%
60	máximo	ADJ	99.99%
61	e	CCONJ	99.98%
62	nós	PRON	99.99%
63	vamos	AUX	99.99%
64	aqui	ADV	99.99%
65	diz	VERB	100.00%
66	é	AUX	99.99%
67	o	DET	99.99%
68	seguinte	ADJ	97.54%
69	e	CCONJ	99.98%
70	sem	ADP	100.00%
71	muita	ADJ	99.99%
72	expectativa	NOUN	99.99%
73	voltamos	VERB	100.00%
74	a	ADP	100.00%
75	a	DET	100.00%
76	estaca	NOUN	99.99%
77	zero	NUM	99.90%
78	zero	NUM	99.99%
79	não	ADV	99.99%
80	sei	VERB	100.00%
81	que	DET	99.99%
82	cor	NOUN	100.00%
83	que	PRON	99.99%
84	é	AUX	99.99%
85	não	ADV	99.99%
86	mas	CCONJ	99.93%
87	só	ADV	99.99%
88	abre	VERB	99.99%
89	serviços	NOUN	100.00%
90	essenciais	ADJ	99.99%
91	a	ADP	100.00%
92	partir	VERB	99.99%
93	de	ADP	100.00%
94	sábado	NOUN	99.99%
95	amanhã	ADV	99.99%
96	e	CCONJ	99.99%
97	as	DET	100.00%
98	14	NUM	99.89%
99	horas	NOUN	100.00%
100	bom	ADJ	99.99%
101	então	ADV	99.99%
102	nós	PRON	99.99%
103	vamo	AUX	99.76%
104	trancar	VERB	99.99%
105	cidade	NOUN	100.00%
106	novamente	ADV	99.99%
107	porque	SCONJ	99.98%
108	nós	PRON	99.99%
109	não	ADV	99.99%
110	sabemos	VERB	100.00%
111	a	ADP	99.98%
112	há	VERB	99.99%
113	tradições	NOUN	99.99%
114	até	ADV	99.99%
115	de	ADP	100.00%
116	os	DET	100.00%
117	próprios	DET	99.99%
118	médicos	NOUN	99.99%
119	,	PUNCT	100.00%
120	o	PRON	99.87%
121	que	PRON	99.99%
122	há	VERB	99.99%
123	uma	DET	100.00%
124	conversa	NOUN	100.00%
125	que	SCONJ	99.99%
126	dois	NUM	100.00%
127	terços	NOUN	99.99%
128	de	ADP	100.00%
129	a	DET	100.00%
130	infecção	NOUN	100.00%
131	de	ADP	100.00%
132	belo	ADJ	99.62%
133	horizonte	NOUN	99.83%
134	são	AUX	99.99%
135	de	ADP	100.00%
136	a	DET	100.00%
137	nova	ADJ	99.99%
138	cepa	NOUN	99.99%
139	e	CCONJ	99.99%
140	o	DET	100.00%
141	mais	ADV	99.99%
142	grave	ADJ	99.99%
143	hoje	ADV	99.99%
144	nós	PRON	99.99%
145	temos	VERB	99.99%
146	quatro	NUM	100.00%
147	crianças	NOUN	99.99%
148	crianças	NOUN	99.85%
149	internadas	VERB	100.00%
150	com	ADP	100.00%
151	covid	X	91.46%
152	eu	PRON	99.99%
153	não	ADV	99.99%
154	tô	AUX	99.99%
155	falando	VERB	99.99%
156	mais	ADV	99.99%
157	de	ADP	100.00%
158	jovens	NOUN	100.00%
159	de	ADP	100.00%
160	4	NUM	99.99%
161	3	NUM	99.96%
162	35	NUM	99.99%
163	não	ADV	99.99%
164	crianças	NOUN	100.00%
165	e	CCONJ	99.98%
166	internados	NOUN	99.24%
167	então	ADV	99.99%
168	nós	PRON	99.99%
169	mudamos	VERB	99.99%
170	de	ADP	100.00%
171	patamar	NOUN	100.00%
172	porque	SCONJ	99.98%
173	a	DET	100.00%
174	morte	NOUN	100.00%
175	de	ADP	100.00%
176	95	NUM	99.99%
177	98	NUM	99.88%
178	99	NUM	99.99%
179	por	ADP	100.00%
180	mais	ADV	99.97%
181	que	SCONJ	99.92%
182	doa	VERB	99.99%
183	em	ADP	100.00%
184	a	DET	100.00%
185	família	NOUN	100.00%
186	e	CCONJ	99.98%
187	não	ADV	99.99%
188	é	AUX	99.99%
189	a	DET	100.00%
190	morte	NOUN	100.00%
191	de	ADP	100.00%
192	4	NUM	99.99%
193	de	ADP	100.00%
194	34	NUM	99.99%
195	de	ADP	100.00%
196	três	NUM	99.99%
197	ou	CCONJ	99.95%
198	de	ADP	100.00%
199	dois	NUM	100.00%
200	anos	NOUN	100.00%
201	não	ADV	99.99%
202	é	AUX	99.99%
203	então	ADV	99.99%
204	provar	VERB	100.00%
205	questão	NOUN	100.00%
206	de	ADP	100.00%
207	responsabilidade	NOUN	99.99%
208	por	ADP	100.00%
209	uma	DET	100.00%
210	questão	NOUN	100.00%
211	de	ADP	100.00%
212	números	NOUN	60.37%
213	números	NOUN	93.05%
214	seguindo	VERB	99.99%
215	a	DET	100.00%
216	mesma	DET	100.00%
217	metodologia	NOUN	100.00%
218	de	ADP	100.00%
219	a	DET	100.00%
220	prefeitura	NOUN	100.00%
221	não	ADV	99.99%
222	mudou	VERB	99.99%
223	em	ADP	100.00%
224	nada	PRON	99.99%
225	e	CCONJ	99.96%
226	caindo	VERB	99.99%
227	em	ADP	100.00%
228	dois	NUM	99.99%
229	vermelhos	NOUN	99.94%
230	e	CCONJ	99.98%
231	não	ADV	99.99%
232	vamos	AUX	99.99%
233	esperar	VERB	99.99%
234	perder	VERB	99.99%
235	o	DET	100.00%
236	controle	NOUN	100.00%
237	de	ADP	100.00%
238	a	DET	100.00%
239	cidade	NOUN	100.00%
240	e	CCONJ	99.98%
241	para	ADP	100.00%
242	poder	VERB	99.48%
243	tomar	VERB	100.00%
244	qualquer	DET	100.00%
245	atitude	NOUN	100.00%
246	temos	VERB	99.98%
247	a	DET	100.00%
248	colaboração	NOUN	100.00%
249	de	ADP	100.00%
250	a	DET	100.00%
251	polícia	NOUN	100.00%
252	militar	ADJ	99.99%
253	de	ADP	100.00%
254	minas	NOUN	99.97%
255	gerais	ADJ	99.99%
256	de	ADP	100.00%
257	a	DET	100.00%
258	guarda	NOUN	100.00%
259	municipal	ADJ	99.99%
260	de	ADP	100.00%
261	a	DET	100.00%
262	fiscalização	NOUN	100.00%
263	tanto	ADV	99.99%
264	sanitária	ADJ	99.99%
265	quanto	ADV	99.99%
266	de	ADP	100.00%
267	a	DET	100.00%
268	política	NOUN	100.00%
269	urbana	ADJ	99.99%
270	e	CCONJ	99.98%
271	vamos	AUX	99.99%
272	atuar	VERB	99.99%
273	seriamente	ADV	99.99%
274	em	ADP	100.00%
