S0001	1	pfizer	PROPN	LEMMA	Pfizer	pfizer
S0001	12	microondas	NOUN	LEMMA	microondas	microonda
S0001	12	microondas	NOUN	FEATS	Gender=Masc|Number=Sing	Gender=Fem|Number=Plur
S0001	13	“internacional	ADJ	FEATS	Number=Sing	_
S0001	22	patente	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0005	7	patente	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0005	25	microondas	NOUN	LEMMA	microondas	microonda
S0005	25	microondas	NOUN	FEATS	Gender=Masc|Number=Sing	Gender=Fem|Number=Plur
S0007	4	patente	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0007	22	patente	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0007	58	“internet	NOUN	FEATS	Foreign=Yes|Gender=Fem|Number=Sing	_
S0007	61	coisas”	VERB	FEATS	_	VerbForm=Fin
S0007	69	microondas	NOUN	FEATS	Number=Plur	Gender=Fem|Number=Plur
S0007	107	morte”	ADJ	LEMMA	morteo	morte”
S0007	107	morte”	ADJ	FEATS	Gender=Fem|Number=Sing	_

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 4
Fchanged - fixed: 11
