S0001	1	alexandre	PROPN	LEMMA	Alexandre	alexandre
S0003	3	morais	NOUN	LEMMA	morais	moral
S0003	3	morais	NOUN	FEATS	Number=Sing	Number=Plur
S0003	36	brasil	NOUN	FEATS	Number=Sing	Gender=Masc|Number=Sing
S0003	53	brasil	NOUN	FEATS	Number=Sing	Gender=Masc|Number=Sing
S0003	56	quarta	NOUN	LEMMA	quarta-feira	quarto
S0003	59	urgente	ADV	LEMMA	urgente	urgentemente
S0003	59	urgente	ADV	FEATS	Number=Sing	_

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 4
Fchanged - fixed: 4
