S0003	21	extraterrestres	NOUN	LEMMA	extraterrestrl	extraterrestre
S0005	9	McEwan	PROPN	LEMMA	Mcewan	McEwan
S0009	1	McEwan	PROPN	LEMMA	Mcewan	McEwan
S0013	35	McEwan	PROPN	LEMMA	Mcewan	McEwan
S0019	1	McEwan	PROPN	LEMMA	Mcewan	McEwan
S0021	6	vozes	NOUN	LEMMA	voze	voz
S0021	12	percebamos	VERB	LEMMA	pezer	perceber
S0023	5	McEwan	PROPN	LEMMA	Mcewan	McEwan
S0027	19	online	ADJ	FEATS	Foreign=Yes	Number=Sing
S0029	5	McEwan	PROPN	LEMMA	Mcewan	McEwan
S0033	15	McEwan	PROPN	LEMMA	Mcewan	McEwan

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 10
Fchanged - fixed: 1
