S0005	14	renomada	ADJ	FEATS	Gender=Fem|Number=Sing|VerbForm=Part	Gender=Fem|Number=Sing
S0005	29	ph	NOUN	LEMMA	PH	ph
S0005	29	ph	NOUN	FEATS	Gender=Fem|Number=Plur	Gender=Masc|Number=Sing
S0005	33	laranja	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0005	35	ph	NOUN	LEMMA	PH	ph
S0005	35	ph	NOUN	FEATS	Gender=Fem|Number=Plur	Gender=Masc|Number=Sing
S0005	39	tangerina	NOUN	LEMMA	tangerina	tangerino
S0005	41	ph	NOUN	FEATS	Gender=Fem|Number=Plur	Gender=Masc|Number=Sing
S0005	47	ph	NOUN	FEATS	Gender=Fem|Number=Plur	Gender=Masc|Number=Sing
S0005	53	ph	NOUN	FEATS	Gender=Fem|Number=Plur	Gender=Masc|Number=Sing
S0005	59	ph	NOUN	FEATS	Gender=Fem|Number=Plur	Gender=Masc|Number=Sing
S0007	21	ph	NOUN	FEATS	Foreign=Yes|Gender=Masc|Number=Sing	Gender=Masc|Number=Sing
S0009	34	SARS-Cov-2	PROPN	LEMMA	SARS-COV-2	SARS-Cov-2
S0017	11	infundadas	ADJ	FEATS	Gender=Fem|Number=Plur|VerbForm=Part	Gender=Fem|Number=Plur
S0019	24	ph	NOUN	FEATS	Foreign=Yes|Gender=Masc|Number=Sing	Gender=Masc|Number=Sing
S0023	5	alimentares	ADJ	LEMMA	alimentarl	alimentar

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 5
Fchanged - fixed: 11
