S0001	3	nikolaevna	X	FEATS	Gender=Fem|Number=Sing	_
S0009	34	etc.	PUNCT	LEMMA	ETC.	etc.
S0015	3	quiser	VERB	LEMMA	quiser	querer
S0047	5	chamadas	NOUN	LEMMA	chamaão	chamado
S0047	8	seguintes	ADJ	LEMMA	seguintl	seguinte
S0047	41	chamada	NOUN	LEMMA	chamada	chamado
S0049	22	tiver	VERB	LEMMA	tiver	ter
S0059	5	ligue	VERB	LEMMA	liguar	ligar
S0059	15	no.	PUNCT	LEMMA	NO.	no.
S0061	3	no.	PUNCT	LEMMA	NO.	no.
S0065	17	chamadas	NOUN	LEMMA	chamada	chamado

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 10
Fchanged - fixed: 1
