S0001	19	la	PRON	FEATS	Gender=Fem|Number=Sing	Case=Acc|Gender=Fem|Number=Sing|Person=3|PronType=Prs
S0003	4	cuba	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0003	21	alfa	NOUN	FEATS	Gender=Masc|Number=Sing	Number=Sing
S0003	38	celebro	VERB	FEATS	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin
S0003	55	la	DET	FEATS	Foreign=Yes	Foreign=Yes|PronType=Art
S0003	62	la	DET	FEATS	Foreign=Yes	Foreign=Yes|PronType=Art
S0003	68	china	ADJ	LEMMA	chino	china
S0003	119	respiratoria.traducao	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0005	21	alfa	NOUN	FEATS	Gender=Masc|Number=Sing	Number=Sing
S0005	24	ifnrec	PROPN	LEMMA	IFNREC	ifnrec
S0005	53	chinesa	ADJ	LEMMA	chinês	chinÃªs
S0011	3	quiser	VERB	LEMMA	quiser	querer
S0011	40	siga	VERB	LEMMA	sigir	seguir
S0011	44	facebookhttp://bit.ly/2ou3zwz	PROPN	LEMMA	FACEBOOKHTTP://BIT.LY/2OU3ZWZ	facebookhttp://bit.ly/2ou3zwz
S0011	45	siga	VERB	LEMMA	sigir	seguir
S0011	50	siga	VERB	LEMMA	sigir	seguir
S0011	55	siga	VERB	LEMMA	siger	seguir
S0011	63	whatsapphttp://bit.ly/38eowt0	NUM	LEMMA	WHATSAPPHTTP://BIT.LY/38EOWT0	whatsapphttp://bit.ly/38eowt0

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 10
Fchanged - fixed: 8
