S0001	18	japoneses	ADJ	LEMMA	japonês	japonÃªs
S0003	1	incluindo:dor	NOUN	FEATS	Gender=Masc|Number=Sing	_
S0003	9	alta/baixa,dores	NOUN	LEMMA	alta/baixa,dor	alta/baixa,dores
S0003	9	alta/baixa,dores	NOUN	FEATS	Gender=Masc|Number=Plur	_
S0003	12	articulacoes,aumento	NOUN	FEATS	Gender=Masc|Number=Sing	_
S0003	18	cardiacos,epilepsia,aumento	NOUN	FEATS	Gender=Masc|Number=Sing	_
S0003	23	colesterol,tosse	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0003	35	asma,doencas	NOUN	LEMMA	asma,doenca	asma,doencas
S0003	35	asma,doencas	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0003	41	urina,problemas	NOUN	LEMMA	urina,problema	urina,problemas
S0003	41	urina,problemas	NOUN	FEATS	Gender=Masc|Number=Plur	_
S0005	2	coma	VERB	LEMMA	comar	comer
S0013	8	gordura	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0019	5	pessoas.ps	NOUN	FEATS	Gender=Masc|Number=Sing	_
S0023	3	quiser	VERB	LEMMA	quiser	querer
S0023	23	whatsapp	NOUN	LEMMA	wHatsapp	whatsapp

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 7
Fchanged - fixed: 9
