S0013	11	que	PRON	FEATS	_	PronType=Dem
S0015	18	Jr.	PUNCT	LEMMA	JR.	Jr.
S0017	12	reconhecido	VERB	LEMMA	reconhecir	reconhecer
S0031	21	TV	NOUN	LEMMA	tv	televisão
S0031	21	TV	NOUN	FEATS	Gender=Fem|Number=Sing	Abbr=Yes|Gender=Fem|Number=Sing
S0035	12	quinta	NOUN	LEMMA	quinta-feira	quinto
S0035	19	segundas	NOUN	LEMMA	segundas-feira	segundo
S0035	22	sextas	NOUN	LEMMA	sextas-feira	sexto
S0037	9	segunda	NOUN	LEMMA	segunda-feira	segundo
S0037	11	sexta	NOUN	LEMMA	sexta-feira	sexto
S0037	19	pra	ADP	LEMMA	pra	para
S0037	19	pra	ADP	FEATS	Abbr=Yes	_
S0037	21	pra	ADP	LEMMA	pra	para
S0037	21	pra	ADP	FEATS	Abbr=Yes	_
S0037	24	segunda	NOUN	LEMMA	segunda-feira	segundo
S0039	7	TV	NOUN	LEMMA	tv	televisão
S0039	7	TV	NOUN	FEATS	Gender=Fem|Number=Sing	Abbr=Yes|Gender=Fem|Number=Sing
S0047	3	puta	ADJ	LEMMA	puta	puto
S0047	3	puta	ADJ	FEATS	Number=Sing	Gender=Fem|Number=Sing
S0051	10	pra	ADP	LEMMA	pra	para
S0051	10	pra	ADP	FEATS	Abbr=Yes	_
S0051	19	tiveram	VERB	LEMMA	tiveram	ter
S0055	5	real	NOUN	FEATS	Number=Sing	Gender=Masc|Number=Sing
S0063	6	CACHÊ	PROPN	FEATS	Gender=Masc|Number=Sing	_

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 15
Fchanged - fixed: 9
