S0003	13	dourados	ADJ	FEATS	Gender=Masc|Number=Plur	Gender=Masc|Number=Plur|VerbForm=Part
S0015	13	colheres	NOUN	LEMMA	colhere	colher
S0015	13	colheres	NOUN	FEATS	Gender=Masc|Number=Plur	Gender=Fem|Number=Plur
S0015	18	colheres	NOUN	LEMMA	colhere	colher
S0015	23	colheres	NOUN	LEMMA	colhere	colher
S0015	23	colheres	NOUN	FEATS	Gender=Masc|Number=Plur	Gender=Fem|Number=Plur
S0015	28	colheres	NOUN	LEMMA	colhere	colher
S0017	17	inox	NOUN	FEATS	Foreign=Yes|Gender=Masc|Number=Sing	Gender=Masc|Number=Sing
S0019	17	jarras	NOUN	FEATS	Gender=Masc|Number=Plur	Gender=Fem|Number=Plur
S0025	24	microondas	NOUN	LEMMA	microondas	microonda
S0025	24	microondas	NOUN	FEATS	Gender=Masc|Number=Sing	Gender=Fem|Number=Plur
S0029	1	Mais	ADV	FEATS	PronType=Ind	_
S0029	20	pires	NOUN	LEMMA	pir	pires
S0029	20	pires	NOUN	FEATS	Gender=Masc|Number=Plur	Gender=Masc
S0029	26	ml	NOUN	LEMMA	ml	mililitro
S0029	26	ml	NOUN	FEATS	Gender=Masc	Abbr=Yes|Gender=Masc
S0029	43	microondas	NOUN	LEMMA	microondas	microonda
S0029	43	microondas	NOUN	FEATS	Gender=Masc|Number=Sing	Gender=Fem|Number=Plur
S0031	7	pires	NOUN	FEATS	Gender=Masc|Number=Sing	Gender=Masc
S0031	14	dourado	ADJ	FEATS	Gender=Masc|Number=Sing	Gender=Masc|Number=Sing|VerbForm=Part
S0031	19	mm	NOUN	FEATS	Abbr=Yes|Gender=Masc	Gender=Masc
S0033	14	pires	NOUN	FEATS	Gender=Masc|Number=Sing	Gender=Masc
S0035	20	pires	NOUN	LEMMA	pir	pires
S0035	20	pires	NOUN	FEATS	Gender=Masc|Number=Plur	Gender=Masc
S0037	8	ml	NOUN	LEMMA	ml	mililitro
S0037	8	ml	NOUN	FEATS	Gender=Masc	Abbr=Yes|Gender=Masc
S0041	6	dourado	ADJ	FEATS	Gender=Masc|Number=Sing	Gender=Masc|Number=Sing|VerbForm=Part

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 10
Fchanged - fixed: 17
