S0005	30	requer	VERB	LEMMA	requeir	requerer
S0007	1	Queridos	ADJ	FEATS	Gender=Masc|Number=Plur	Gender=Masc|Number=Plur|VerbForm=Part
S0009	30	presentes	NOUN	FEATS	Number=Plur	Gender=Masc|Number=Plur
S0011	31	incidentes	NOUN	FEATS	Gender=Masc|Number=Plur	Number=Plur
S0011	36	missas	NOUN	FEATS	Gender=Fem|Number=Plur	Number=Plur
S0013	19	missa	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 1
Fchanged - fixed: 5
