S0001	1	EXCLUSIVO	ADJ	LEMMA	EXCLUSIVO	exclusivo
S0007	24	17h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0009	30	400g	NOUN	FEATS	Abbr=Yes|Gender=Masc	_
S0011	34	20h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0015	2	youtuber	NOUN	FEATS	Number=Sing	Foreign=Yes|Number=Sing
S0015	42	20h30	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0019	3	1a	ADJ	LEMMA	1A	1a
S0019	24	15h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0031	41	16h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0035	4	Alô	INTJ	LEMMA	Alô	alô
S0037	33	9h	NOUN	LEMMA	9H	9h
S0037	33	9h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0037	36	18h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0039	19	15h	NOUN	FEATS	Gender=Fem|Number=Plur	_

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 4
Fchanged - fixed: 10
