S0001	7	voto”	PRON	FEATS	_	PronType=Dem
S0001	25	escrito	NOUN	FEATS	Gender=Masc|Number=Sing|VerbForm=Part	Gender=Masc|Number=Sing
S0001	26	confira	VERB	LEMMA	confirer	conferir
S0001	27	confira	VERB	LEMMA	confirer	conferir
S0003	5	confira	VERB	LEMMA	confirir	conferir
S0003	6	confira	VERB	LEMMA	confirir	conferir
S0003	14	voto…	PUNCT	LEMMA	VOTO…	voto…
S0003	43	voto”	PUNCT	LEMMA	VOTO”	voto”
S0003	48	voto”	PUNCT	LEMMA	VOTO”	voto”
S0003	56	confira	VERB	LEMMA	confir	conferir

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 8
Fchanged - fixed: 2
