S0001	1	temer	PROPN	LEMMA	Temer	temer
S0001	10	tv	NOUN	LEMMA	tv	televisão
S0001	10	tv	NOUN	FEATS	Gender=Fem|Number=Sing	Abbr=Yes|Gender=Fem|Number=Sing
S0003	15	tv	NOUN	LEMMA	tv	televisão
S0003	15	tv	NOUN	FEATS	Gender=Fem|Number=Sing	Abbr=Yes|Gender=Fem|Number=Sing
S0005	1	…</i	NOUN	FEATS	Gender=Masc|Number=Sing	_
S0005	5	i>presidente	NOUN	FEATS	Number=Sing	_
S0005	17	maia	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0005	76	travessia).</i	NOUN	FEATS	Gender=Masc|Number=Sing	_

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 3
Fchanged - fixed: 6
