S0001	1	TRF-4	NUM	LEMMA	TRF-4	trf-4
S0005	9	1a	ADJ	LEMMA	1A	1a
S0005	9	1a	ADJ	FEATS	Gender=Fem|Number=Sing|NumType=Ord	Gender=Fem|NumType=Ord
S0005	15	2a	ADJ	LEMMA	2o	2a
S0005	15	2a	ADJ	FEATS	Gender=Fem|Number=Sing|NumType=Ord	Gender=Fem|NumType=Ord
S0005	16	.	ADJ	FEATS	Gender=Fem|Number=Sing	NumType=Ord
S0009	7	4a	ADJ	LEMMA	4A	4a
S0011	17	mantidas	VERB	LEMMA	mantir	manter
S0013	12	1a	ADJ	LEMMA	1A	1a
S0013	12	1a	ADJ	FEATS	Gender=Fem|Number=Sing|NumType=Ord	Gender=Fem|NumType=Ord
S0013	20	2a	ADJ	LEMMA	2A	2a
S0013	20	2a	ADJ	FEATS	Gender=Fem|Number=Sing|NumType=Ord	Gender=Fem|NumType=Ord
S0017	24	meses	NOUN	LEMMA	meses	m̻s
S0017	34	meses	NOUN	LEMMA	meses	m̻s
S0019	22	meses	NOUN	LEMMA	meses	m̻s
S0021	20	meses	NOUN	LEMMA	meses	m̻s
S0031	10	meses	NOUN	LEMMA	meses	m̻s
S0037	5	vozes	NOUN	LEMMA	voze	voz
S0039	3	mantidos	VERB	LEMMA	mantir	manter

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 14
Fchanged - fixed: 5
