S0001	11	dr.	NOUN	FEATS	Abbr=Yes|Gender=Masc|Number=Sing	_
S0003	1	médico	NOUN	FEATS	Gender=Masc|Number=Sing	_
S0007	11	doença	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0009	26	família	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0009	31	médico	ADJ	FEATS	Gender=Masc|Number=Sing	Gender=Masc|NumType=Ord
S0009	33	ensinou	VERB	LEMMA	ensinor	ensinar
S0009	39	exercício	NOUN	FEATS	Gender=Masc|Number=Sing	_
S0009	42	língua	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0009	52	doença	NOUN	LEMMA	doenço	doença
S0009	52	doença	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0009	54	alzheimer	PROPN	LEMMA	Alzheimer	alzheimer
S0009	58	exercício	NOUN	FEATS	Gender=Masc|Number=Sing	_
S0009	61	útil	ADJ	FEATS	Number=Sing	_
S0009	74	hipertensão	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0009	77	coágulo	NOUN	FEATS	Gender=Masc|Number=Sing	_
S0009	78	sanguíneo	ADJ	FEATS	Gender=Masc|Number=Sing	Gender=Masc|NumType=Ord
S0009	81	cérebro	NOUN	FEATS	Gender=Masc|Number=Sing	_
S0009	96	infecção	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0009	102	infecção	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0009	107	pescoço	NOUN	FEATS	Gender=Masc|Number=Sing	_
S0009	111	insônia	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0009	119	fáceis	ADJ	LEMMA	fácil	fáceis
S0009	119	fáceis	ADJ	FEATS	Number=Plur	_
S0009	125	manhãs	ADJ	LEMMA	manhao	manhãs
S0009	125	manhãs	ADJ	FEATS	Gender=Fem|Number=Plur	_
S0009	143	exercício	NOUN	FEATS	Gender=Masc|Number=Sing	_
S0009	148	língua	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0011	9	língua	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0011	17	retenção	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0011	20	cérebro	NOUN	FEATS	Gender=Masc|Number=Sing	_
S0013	32	digestão	ADJ	FEATS	Gender=Masc|Number=Sing	Gender=Masc|NumType=Ord
S0013	46	ágil	NOUN	FEATS	Number=Sing	_
S0015	6	exercício	NOUN	FEATS	Gender=Masc|Number=Sing	_
S0015	9	língua	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0015	16	doença	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0017	3	médica	ADJ	LEMMA	médico	médica
S0017	3	médica	ADJ	FEATS	Gender=Fem|Number=Sing	Gender=Fem|NumType=Ord
S0017	7	exercício	NOUN	FEATS	Gender=Masc|Number=Sing	_
S0017	10	conexão	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0017	14	cérebro	NOUN	FEATS	Gender=Masc|Number=Sing	_
S0019	19	língua	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0019	21	rígida	ADJ	LEMMA	rígido	rígida
S0019	21	rígida	ADJ	FEATS	Gender=Fem|Number=Sing|VerbForm=Part	Gender=Fem|NumType=Ord
S0021	7	língua	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0021	13	cérebro	NOUN	FEATS	Gender=Masc|Number=Sing	_
S0023	16	doença	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0023	26	pessoas…	PUNCT	LEMMA	PESSOAS…	pessoas…
S0023	32	mãos	NOUN	LEMMA	mão	mãos
S0023	32	mãos	NOUN	FEATS	Gender=Masc|Number=Plur	_
S0023	34	pernas…	PUNCT	LEMMA	PERNAS…	pernas…

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 10
Fchanged - fixed: 40
