S0001	6	c	NOUN	FEATS	Gender=Fem|Number=Sing	Gender=Masc|Number=Sing
S0001	17	“conselho	NOUN	FEATS	Gender=Masc|Number=Sing	_
S0001	38	c-1	NUM	LEMMA	C-1	c-1
S0001	45	e	NOUN	FEATS	_	Gender=Masc|Number=Sing
S0011	9	ph	NOUN	LEMMA	PH	ph
S0011	9	ph	NOUN	FEATS	Gender=Masc	Gender=Masc|Number=Sing
S0011	14	ph	NOUN	LEMMA	PH	ph
S0011	14	ph	NOUN	FEATS	Gender=Fem|Number=Plur	Gender=Masc|Number=Sing
S0011	18	ph	NOUN	LEMMA	PH	ph
S0011	18	ph	NOUN	FEATS	Gender=Fem|Number=Plur	Gender=Masc|Number=Sing
S0011	22	ph	NOUN	LEMMA	PH	ph
S0011	22	ph	NOUN	FEATS	Gender=Fem|Number=Plur	Gender=Masc|Number=Sing
S0011	26	ph	NOUN	LEMMA	PH	ph
S0011	26	ph	NOUN	FEATS	Gender=Masc	Gender=Masc|Number=Sing
S0011	27	tangerina	NOUN	LEMMA	tangerina	tangerino
S0011	30	ph	NOUN	LEMMA	PH	ph
S0011	30	ph	NOUN	FEATS	Gender=Masc	Gender=Masc|Number=Sing
S0011	34	ph	NOUN	LEMMA	PH	ph
S0011	34	ph	NOUN	FEATS	Gender=Masc	Gender=Masc|Number=Sing
S0011	38	ph	NOUN	LEMMA	PH	ph
S0011	38	ph	NOUN	FEATS	Gender=Fem|Number=Plur	Gender=Masc|Number=Sing
S0011	39	laranjas	NOUN	FEATS	Gender=Fem|Number=Plur	Number=Plur
S0011	42	ph	NOUN	FEATS	Gender=Masc	Gender=Masc|Number=Sing
S0013	38	…	ADJ	FEATS	Gender=Masc|NumType=Ord	_
S0017	8	amigos”	ADJ	LEMMA	amigos	amigos”
S0017	8	amigos”	ADJ	FEATS	Number=Plur	_

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 11
Fchanged - fixed: 15
