S0009	5	lobo-guará	NOUN	LEMMA	lobo-Guará	lobo-guará
S0013	25	crowdfunding	NOUN	FEATS	Gender=Masc|Number=Sing	Foreign=Yes|Gender=Masc|Number=Sing
S0019	34	antas	NOUN	FEATS	Gender=Fem|Number=Plur	Number=Plur
S0021	19	antas	NOUN	FEATS	Gender=Fem|Number=Plur	Number=Plur
S0023	19	antas	NOUN	FEATS	Gender=Fem|Number=Plur	Number=Plur
S0027	15	crowdfunding	NOUN	FEATS	Gender=Masc|Number=Sing	Foreign=Yes|Gender=Masc|Number=Sing
S0027	26	alcancem	VERB	LEMMA	alcancir	alcanÃ§ar

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 2
Fchanged - fixed: 5
