S0001	1	URGENTE	ADV	LEMMA	urgente	urgentemente
S0001	28	13o	ADJ	FEATS	Gender=Masc|Number=Sing|NumType=Ord	Gender=Masc|NumType=Ord
S0005	5	13o	ADJ	FEATS	Gender=Masc|Number=Sing|NumType=Ord	Gender=Masc|NumType=Ord
S0007	25	13o	ADJ	FEATS	Gender=Masc|Number=Sing|NumType=Ord	Gender=Masc|NumType=Ord
S0009	9	13o	ADJ	FEATS	Gender=Masc|Number=Sing	Gender=Masc|NumType=Ord
S0011	21	13o	NOUN	FEATS	Gender=Masc|Number=Sing	_

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 1
Fchanged - fixed: 5
