S0003	6	varios	DET	FEATS	Gender=Masc|Number=Plur	Gender=Masc|Number=Plur|PronType=Art
S0009	60	infantis	ADJ	LEMMA	infanti	infantil
S0011	14	infantis	ADJ	LEMMA	infantl	infantil
S0011	16	catedrais	NOUN	LEMMA	catedrai	catedral
S0011	16	catedrais	NOUN	FEATS	Gender=Fem|Number=Plur	Number=Plur
S0011	22	nova	NOUN	LEMMA	nova	novo
S0011	38	pais	NOUN	LEMMA	pais	pai
S0011	38	pais	NOUN	FEATS	Gender=Masc|Number=Sing	Gender=Masc|Number=Plur
S0011	54	canadenses	ADJ	LEMMA	canadensl	canadense

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 6
Fchanged - fixed: 3
