S0003	1	obrigada	VERB	LEMMA	obrigado	obrigar
S0005	4	r$	SYM	LEMMA	R$	r$
S0005	8	r$	SYM	LEMMA	R$	r$
S0005	10	diesel…	PUNCT	LEMMA	DIESEL…	diesel…
S0005	11	r$	SYM	LEMMA	R$	r$
S0005	14	s1…	PUNCT	LEMMA	S1…	s1…
S0005	15	r$	SYM	LEMMA	R$	r$
S0005	19	cozinha…	PUNCT	LEMMA	COZINHA…	cozinha…
S0005	20	r$	SYM	LEMMA	R$	r$
S0005	24	r$	SYM	LEMMA	R$	r$
S0005	33	pra	ADP	LEMMA	pra	para
S0005	33	pra	ADP	FEATS	Abbr=Yes	_
S0009	5	mg	NOUN	LEMMA	MG	miligrama
S0009	5	mg	NOUN	FEATS	_	Abbr=Yes|Gender=Masc

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 12
Fchanged - fixed: 2
