S0001	1	josé	PROPN	LEMMA	José	josé
S0001	8	maldivas	ADJ	LEMMA	maldiva	maldivo
S0001	12	vaquinha	NOUN	LEMMA	vaquinha	vaquinho
S0001	13	online	ADJ	FEATS	Foreign=Yes	Number=Sing
S0001	22	vaquinha	NOUN	LEMMA	vaquinha	vaquinho
S0001	42	vaquinha	NOUN	LEMMA	vaquinha	vaquinho
S0001	43	pra	ADP	LEMMA	pra	para
S0001	43	pra	ADP	FEATS	Abbr=Yes	_
S0001	51	pt	NOUN	LEMMA	PT	pt
S0001	60	m	ADP	UPOS	ADP	NOUN
S0001	60	m	NOUN	LEMMA	m	metro
S0001	60	m	NOUN	FEATS	_	Abbr=Yes|Gender=Masc
S0001	62	maldivas	ADJ	LEMMA	maldiva	maldivo
S0003	1	…	ADJ	FEATS	Gender=Masc|NumType=Ord	_
S0003	6	pra	ADP	LEMMA	pra	para
S0003	6	pra	ADP	FEATS	Abbr=Yes	_
S0003	7	malandro”	ADJ	FEATS	Gender=Masc|Number=Sing	_

==========================================================

Pchanged - fixed: 1
Lchanged - fixed: 10
Fchanged - fixed: 6
