S0001	1	Dr.	NOUN	FEATS	Abbr=Yes|Gender=Masc|Number=Sing	_
S0001	10	bonecas	NOUN	LEMMA	boneca	boneco
S0003	11	bonecas	NOUN	LEMMA	boneca	boneco
S0007	2	Recupero	VERB	LEMMA	recuperer	recuperar
S0007	14	bonecas	NOUN	LEMMA	boneca	boneco
S0009	18	boneca	NOUN	LEMMA	boneca	boneco
S0011	30	bonecas	NOUN	LEMMA	boneca	boneco
S0013	35	surgido	VERB	LEMMA	surger	surgir
S0015	12	boneca	NOUN	LEMMA	boneca	boneco
S0019	24	bonecas	NOUN	LEMMA	boneca	boneco
S0023	35	bonecas	NOUN	LEMMA	boneca	boneco
S0025	23	aprende	VERB	LEMMA	aprendir	aprender
S0025	37	perdure	VERB	LEMMA	perdurer	perdurar
S0027	17	renascesse	VERB	LEMMA	rer	renascer

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 13
Fchanged - fixed: 1
