rule,mean_human,mean_llm,std_human,std_llm,difference,abs_difference,docs_human,docs_llm,docs_total,pct_human,pct_llm,mann_whitney_u,p_value,cohens_d,significant_005,significant_001,characteristic_of
ADJ(*),0.09615294127580351,0.17682807063301376,0.05170802591042762,0.04603125958836981,-0.08067512935721025,0.08067512935721025,5246,5389,10635,97.32838589981448,99.9629011315155,3504835.0,0.0,-1.648045589909851,True,True,llm
PROPN(*),0.18038366914666953,0.24358027526064285,0.14127285877413667,0.08952459342706312,-0.06319660611397332,0.06319660611397332,4637,5385,10022,86.02968460111317,99.88870339454647,10491010.0,7.21065448229453e-138,-0.5343696275679937,True,True,llm
NOUN(*),0.4397924277653167,0.49999911638300176,0.0931778129979377,0.0518989872722742,-0.06020668861768508,0.06020668861768508,5388,5391,10779,99.96289424860854,100.0,8240220.0,0.0,-0.7983115223542889,True,True,llm
DET(*),0.3302635090847322,0.3830454664485864,0.07896975725784704,0.04788231771439119,-0.052781957363854215,0.052781957363854215,5383,5391,10774,99.87012987012987,100.0,8345451.0,0.0,-0.8082635378792451,True,True,llm
ADP(*),0.33436507588265413,0.381293504933102,0.07500496739623812,0.045819747464431175,-0.04692842905044786,0.04692842905044786,5389,5391,10780,99.98144712430427,100.0,8779412.0,2.6678192027022e-277,-0.755085804756097,True,True,llm
PUNCT(*),0.2954233990306337,0.32906761784077626,0.08838506630986304,0.05538430483903515,-0.03364421881014257,0.03364421881014257,5390,5391,10781,100.0,100.0,10782106.0,6.08952741397037e-119,-0.4561672984969068,True,True,llm
VERB(*),0.16569653588626054,0.18213142249508324,0.06252799357877885,0.03877282098884742,-0.016434886608822696,0.016434886608822696,5367,5390,10757,99.57328385899814,99.98145056575774,11809983.5,1.5716987854585125e-63,-0.3159071254568573,True,True,llm
"VERB(PUNCT/punct, *, NOUN/obj)",0.002912551164901596,0.016473427782289222,0.009032728856516067,0.015405387717656463,-0.013560876617387627,0.013560876617387627,668,3790,4458,12.393320964749536,70.30235577814877,6135020.0,0.0,-1.073901622211302,True,True,llm
"NOUN(ADP/case, *, ADJ/amod)",0.009206500803551202,0.02207227344585332,0.01557015970928499,0.017642312656390643,-0.012865772642302117,0.012865772642302117,1966,4467,6433,36.47495361781076,82.86032276015581,7525063.0,0.0,-0.7732519659800381,True,True,llm
"NOUN(DET/det, *, ADJ/amod)",0.009718978674602566,0.02168943556355017,0.015392935173837467,0.016893839324358527,-0.011970456888947602,0.011970456888947602,2073,4534,6607,38.460111317254174,84.10313485438694,7855217.5,0.0,-0.7407084707002709,True,True,llm
