S0003	36	sugerem	VERB	LEMMA	sugerer	sugerir
S0015	7	online	ADJ	LEMMA	onlil	online
S0015	7	online	ADJ	FEATS	_	Number=Sing
S0017	6	manteve	VERB	LEMMA	mantear	manter
S0019	16	Rede	PROPN	LEMMA	REDE	Rede
S0019	26	dÁvila	PROPN	LEMMA	Dávila	dÁvila
S0019	28	PCdoB	PROPN	LEMMA	PCDOB	PCdoB
S0019	41	Novo	PROPN	LEMMA	NOVO	Novo
S0021	28	TV	NOUN	LEMMA	tv	televisão
S0021	28	TV	NOUN	FEATS	Gender=Fem|Number=Sing	Abbr=Yes|Gender=Fem|Number=Sing
S0025	22	4a	ADJ	LEMMA	4A	4a

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 9
Fchanged - fixed: 2
