S0001	9	quarta	NOUN	LEMMA	quarta-feira	quarto
S0001	30	cadeirinha	NOUN	LEMMA	cadeirinha	cadeirinho
S0009	16	cadeirinha	NOUN	LEMMA	cadeirinha	cadeirinho
S0017	7	cadeirinha	NOUN	LEMMA	cadeirinha	cadeirinho
S0021	25	cadeirinha	NOUN	LEMMA	cadeirinha	cadeirinho
S0023	10	cadeirinhas	NOUN	LEMMA	cadeirinha	cadeirinho
S0023	32	cadeirinha	NOUN	LEMMA	cadeirinha	cadeirinho
S0027	13	cadeirinha	NOUN	LEMMA	cadeirinha	cadeirinho
S0029	27	infantis	ADJ	LEMMA	infantl	infantil
S0033	12	cadeirinha	NOUN	LEMMA	cadeirinha	cadeirinho
S0041	7	cadeirinha	NOUN	LEMMA	cadeirinha	cadeirinho
S0045	12	cadeirinha	NOUN	LEMMA	cadeirinha	cadeirinho

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 12
Fchanged - fixed: 0
