S0003	11	tapa	NOUN	FEATS	Gender=Masc|Number=Sing	Gender=Fem|Number=Sing
S0015	7	1-Fátima	PROPN	LEMMA	1-fátima	1-Fátima
S0015	25	2-Omar	PROPN	LEMMA	2-omar	2-Omar
S0015	39	3-Gladson	PROPN	LEMMA	3-gladson	3-Gladson
S0015	53	4-Roberto	PROPN	LEMMA	4-roberto	4-Roberto
S0015	80	5-Telmário	PROPN	LEMMA	5-telmário	5-Telmário
S0015	93	6-Ataídes	PROPN	LEMMA	6-ataídes	6-Ataídes
S0015	119	7-José	PROPN	LEMMA	7-josé	7-José
S0015	146	8-José	PROPN	LEMMA	8-josé	8-José
S0015	160	9-Lídice	PROPN	LEMMA	9-lídice	9-Lídice
S0015	187	seguinte	PRON	FEATS	Number=Sing	Number=Sing|PronType=Dem

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 9
Fchanged - fixed: 2
