S0001	34	terroristas	ADJ	LEMMA	terroristl	terrorista
S0005	4	us$	SYM	LEMMA	US$	us$
S0005	9	us$	SYM	LEMMA	US$	us$
S0005	15	sp	PROPN	LEMMA	SP	sp
S0005	16	us$	SYM	LEMMA	US$	us$
S0005	21	us$	SYM	LEMMA	US$	us$
S0005	26	us$	SYM	LEMMA	US$	us$
S0005	31	us$	SYM	LEMMA	US$	us$
S0005	37	us$	SYM	LEMMA	US$	us$
S0005	41	al-shabaad	X	LEMMA	Al-sHabaad	al-shabaad
S0005	42	us$	SYM	LEMMA	US$	us$
S0005	47	us$	SYM	LEMMA	US$	us$
S0005	53	us$	SYM	LEMMA	US$	us$
S0009	4	sp	PROPN	LEMMA	SP	sp
S0017	3	quiser	VERB	LEMMA	quiser	querer
S0017	23	whatsapp	NOUN	LEMMA	wHatsapp	whatsapp

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 16
Fchanged - fixed: 0
