S0001	27	globo	NOUN	FEATS	Gender=Fem|Number=Sing	Gender=Masc|Number=Sing
S0003	30	pra	ADP	LEMMA	pra	para
S0003	30	pra	ADP	FEATS	Abbr=Yes	_
S0005	2	pra	ADP	LEMMA	pra	para
S0005	2	pra	ADP	FEATS	Abbr=Yes	_
S0005	40	pouco…	PUNCT	LEMMA	POUCO…	pouco…
S0007	6	constituição…	PUNCT	LEMMA	CONSTITUIÇÃO…	constituição…
S0017	43	r$	SYM	LEMMA	R$	r$
S0017	54	r$	SYM	LEMMA	R$	r$
S0019	9	r$	SYM	LEMMA	R$	r$
S0019	29	meses…	PUNCT	LEMMA	MESES…	meses…
S0031	7	r$	SYM	LEMMA	R$	r$
S0041	3	pra	ADP	LEMMA	pra	para
S0041	3	pra	ADP	FEATS	Abbr=Yes	_

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 10
Fchanged - fixed: 4
