S0001	16	jose	PROPN	LEMMA	Jose	jose
S0009	24	unidos	ADJ	FEATS	Gender=Masc|Number=Plur	Gender=Masc|Number=Plur|VerbForm=Part
S0009	51	empreiteira	NOUN	LEMMA	empreiteira	empreiteiro
S0009	54	procuradoria-geral	NOUN	LEMMA	procuradoriA-geral	procuradoria-geral
S0009	64	mp-470	NUM	LEMMA	MP-470	mp-470
S0009	72	lula	NOUN	FEATS	_	Gender=Fem|Number=Sing
S0009	85	relativos	ADJ	FEATS	Gender=Masc|Number=Plur|VerbForm=Part	Gender=Masc|Number=Plur
S0011	23	submetido	VERB	LEMMA	submetir	submeter
S0011	26	machado	NOUN	FEATS	_	Gender=Masc|Number=Sing
S0013	9	lula	NOUN	FEATS	_	Gender=Fem|Number=Sing
S0013	18	r$	SYM	LEMMA	R$	r$
S0015	8	lula	NOUN	FEATS	_	Gender=Fem|Number=Sing
S0017	26	e	CCONJ	LEMMA	ser	e
S0017	26	e	CCONJ	FEATS	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	_
S0017	43	pilares	NOUN	LEMMA	pilare	pilar
S0025	3	quiser	VERB	LEMMA	quiser	querer
S0025	23	whatsapp	NOUN	LEMMA	wHatsapp	whatsapp

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 10
Fchanged - fixed: 7
