arquivo,dataset,subset,caminho_relativo,caminho_completo,total_sentencas,total_palavras,total_silabas,media_silabas_por_sentenca,media_silabas_por_palavra
1222.txt,FakeBR_Human,,1222.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1222.txt,12,208,489,40.75,2.3509615384615383
2635.txt,FakeBR_Human,,2635.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2635.txt,11,187,399,36.27272727272727,2.1336898395721926
2390.txt,FakeBR_Human,,2390.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2390.txt,9,238,513,57.0,2.1554621848739495
1987.txt,FakeBR_Human,,1987.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1987.txt,22,483,1111,50.5,2.300207039337474
941.txt,FakeBR_Human,,941.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/941.txt,4,127,263,65.75,2.0708661417322833
3214.txt,FakeBR_Human,,3214.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3214.txt,10,166,374,37.4,2.253012048192771
2514.txt,FakeBR_Human,,2514.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2514.txt,13,161,341,26.23076923076923,2.1180124223602483
2564.txt,FakeBR_Human,,2564.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2564.txt,6,144,312,52.0,2.1666666666666665
3510.txt,FakeBR_Human,,3510.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3510.txt,13,181,388,29.846153846153847,2.143646408839779
1889.txt,FakeBR_Human,,1889.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1889.txt,6,82,183,30.5,2.231707317073171
3194.txt,FakeBR_Human,,3194.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3194.txt,10,308,662,66.2,2.1493506493506493
1462.txt,FakeBR_Human,,1462.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1462.txt,9,148,355,39.44444444444444,2.3986486486486487
1357.txt,FakeBR_Human,,1357.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1357.txt,15,228,509,33.93333333333333,2.232456140350877
1143.txt,FakeBR_Human,,1143.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1143.txt,7,162,350,50.0,2.1604938271604937
3491.txt,FakeBR_Human,,3491.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3491.txt,2,77,164,82.0,2.1298701298701297
2325.txt,FakeBR_Human,,2325.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2325.txt,17,186,370,21.764705882352942,1.989247311827957
1914.txt,FakeBR_Human,,1914.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1914.txt,8,143,301,37.625,2.104895104895105
1453.txt,FakeBR_Human,,1453.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1453.txt,14,224,520,37.142857142857146,2.3214285714285716
1350.txt,FakeBR_Human,,1350.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1350.txt,10,177,397,39.7,2.2429378531073447
3211.txt,FakeBR_Human,,3211.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3211.txt,6,165,339,56.5,2.0545454545454547
1716.txt,FakeBR_Human,,1716.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1716.txt,12,194,434,36.166666666666664,2.2371134020618557
3527.txt,FakeBR_Human,,3527.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3527.txt,10,144,316,31.6,2.1944444444444446
3187.txt,FakeBR_Human,,3187.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3187.txt,6,173,413,68.83333333333333,2.38728323699422
209.txt,FakeBR_Human,,209.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/209.txt,4,129,299,74.75,2.317829457364341
2180.txt,FakeBR_Human,,2180.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2180.txt,10,117,245,24.5,2.094017094017094
1691.txt,FakeBR_Human,,1691.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1691.txt,9,170,341,37.888888888888886,2.0058823529411764
1511.txt,FakeBR_Human,,1511.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1511.txt,6,129,265,44.166666666666664,2.054263565891473
1017.txt,FakeBR_Human,,1017.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1017.txt,5,84,170,34.0,2.0238095238095237
1372.txt,FakeBR_Human,,1372.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1372.txt,9,228,494,54.888888888888886,2.1666666666666665
1302.txt,FakeBR_Human,,1302.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1302.txt,9,210,492,54.666666666666664,2.342857142857143
273.txt,FakeBR_Human,,273.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/273.txt,9,122,273,30.333333333333332,2.237704918032787
1112.txt,FakeBR_Human,,1112.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1112.txt,30,579,1268,42.266666666666666,2.1899827288428324
231.txt,FakeBR_Human,,231.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/231.txt,4,118,259,64.75,2.194915254237288
2499.txt,FakeBR_Human,,2499.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2499.txt,2,15,40,20.0,2.6666666666666665
3326.txt,FakeBR_Human,,3326.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3326.txt,4,97,218,54.5,2.247422680412371
2580.txt,FakeBR_Human,,2580.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2580.txt,8,191,436,54.5,2.282722513089005
2122.txt,FakeBR_Human,,2122.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2122.txt,6,64,141,23.5,2.203125
3189.txt,FakeBR_Human,,3189.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3189.txt,9,107,215,23.88888888888889,2.0093457943925235
776.txt,FakeBR_Human,,776.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/776.txt,6,112,259,43.166666666666664,2.3125
353.txt,FakeBR_Human,,353.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/353.txt,4,63,132,33.0,2.0952380952380953
2495.txt,FakeBR_Human,,2495.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2495.txt,14,168,348,24.857142857142858,2.0714285714285716
1854.txt,FakeBR_Human,,1854.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1854.txt,19,242,516,27.157894736842106,2.1322314049586777
616.txt,FakeBR_Human,,616.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/616.txt,8,252,547,68.375,2.1706349206349205
1795.txt,FakeBR_Human,,1795.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1795.txt,12,353,752,62.666666666666664,2.130311614730878
668.txt,FakeBR_Human,,668.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/668.txt,11,273,570,51.81818181818182,2.087912087912088
2117.txt,FakeBR_Human,,2117.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2117.txt,23,265,580,25.217391304347824,2.188679245283019
815.txt,FakeBR_Human,,815.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/815.txt,6,111,226,37.666666666666664,2.036036036036036
987.txt,FakeBR_Human,,987.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/987.txt,9,196,443,49.22222222222222,2.260204081632653
983.txt,FakeBR_Human,,983.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/983.txt,6,181,365,60.833333333333336,2.016574585635359
2478.txt,FakeBR_Human,,2478.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2478.txt,21,321,713,33.95238095238095,2.221183800623053
782.txt,FakeBR_Human,,782.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/782.txt,10,165,351,35.1,2.1272727272727274
2373.txt,FakeBR_Human,,2373.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2373.txt,7,88,204,29.142857142857142,2.3181818181818183
2405.txt,FakeBR_Human,,2405.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2405.txt,12,121,262,21.833333333333332,2.165289256198347
1076.txt,FakeBR_Human,,1076.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1076.txt,7,91,199,28.428571428571427,2.1868131868131866
1643.txt,FakeBR_Human,,1643.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1643.txt,10,165,360,36.0,2.1818181818181817
2498.txt,FakeBR_Human,,2498.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2498.txt,14,187,410,29.285714285714285,2.192513368983957
1294.txt,FakeBR_Human,,1294.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1294.txt,1,18,35,35.0,1.9444444444444444
1852.txt,FakeBR_Human,,1852.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1852.txt,9,168,353,39.22222222222222,2.1011904761904763
3069.txt,FakeBR_Human,,3069.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3069.txt,14,390,964,68.85714285714286,2.471794871794872
343.txt,FakeBR_Human,,343.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/343.txt,6,106,221,36.833333333333336,2.0849056603773586
2736.txt,FakeBR_Human,,2736.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2736.txt,9,198,465,51.666666666666664,2.3484848484848486
1668.txt,FakeBR_Human,,1668.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1668.txt,10,164,369,36.9,2.25
2937.txt,FakeBR_Human,,2937.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2937.txt,7,97,222,31.714285714285715,2.288659793814433
713.txt,FakeBR_Human,,713.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/713.txt,11,154,325,29.545454545454547,2.1103896103896105
2953.txt,FakeBR_Human,,2953.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2953.txt,4,116,268,67.0,2.310344827586207
1104.txt,FakeBR_Human,,1104.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1104.txt,7,138,294,42.0,2.130434782608696
2756.txt,FakeBR_Human,,2756.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2756.txt,5,119,244,48.8,2.0504201680672267
