S0001	1	vacinados	NOUN	FEATS	Gender=Masc|Number=Plur|VerbForm=Part	Gender=Masc|Number=Plur
S0001	11	variante	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0001	15	covid-19	NUM	LEMMA	COVID-19	covid-19
S0001	28	variante	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0001	70	covid-19	NUM	LEMMA	COVID-19	covid-19
S0001	80	variante	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0009	8	saibam	VERB	LEMMA	sar	saber

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 3
Fchanged - fixed: 4
