S0001	6	rj	NOUN	LEMMA	RJ	rj
S0011	1	fizeram	VERB	LEMMA	fizeram	fazer
S0015	2	tava	AUX	LEMMA	tava	estar
S0015	2	tava	AUX	FEATS	Abbr=Yes	Mood=Ind|Number=Sing|Person=3|Tense=Imp|VerbForm=Fin
S0017	1	tava	AUX	LEMMA	tar	estar
S0019	3	pra	ADP	LEMMA	pra	para
S0019	3	pra	ADP	FEATS	Abbr=Yes	_
S0023	2	puder	VERB	LEMMA	puder	poder
S0025	3	pra	ADP	LEMMA	pra	para
S0025	3	pra	ADP	FEATS	Abbr=Yes	_

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 7
Fchanged - fixed: 3
