S0001	2	proibiu	VERB	LEMMA	proibar	proibir
S0001	7	microondas	NOUN	LEMMA	microondas	microonda
S0001	7	microondas	NOUN	FEATS	Number=Sing	Gender=Fem|Number=Plur
S0001	10	pais	NOUN	LEMMA	pais	pai
S0001	10	pais	NOUN	FEATS	Gender=Masc|Number=Sing	Gender=Masc|Number=Plur
S0001	14	microondas	NOUN	FEATS	Number=Plur	Gender=Fem|Number=Plur
S0001	28	microondas	NOUN	LEMMA	microondas	microonda
S0001	28	microondas	NOUN	FEATS	Number=Sing	Gender=Fem|Number=Plur
S0001	31	pais	NOUN	LEMMA	pais	pai
S0001	31	pais	NOUN	FEATS	Gender=Masc|Number=Sing	Gender=Masc|Number=Plur
S0003	18	prision	NOUN	FEATS	VerbForm=Inf	_
S0005	7	microondas	NOUN	FEATS	Number=Plur	Gender=Fem|Number=Plur
S0005	49	microondas	NOUN	LEMMA	microondas	microonda
S0005	49	microondas	NOUN	FEATS	Number=Sing	Gender=Fem|Number=Plur
S0005	77	microondas	NOUN	FEATS	Foreign=Yes|Gender=Fem|Number=Sing	Gender=Fem|Number=Plur
S0007	8	microondas	NOUN	FEATS	Gender=Masc|Number=Sing	Gender=Fem|Number=Plur
S0009	12	microondas	NOUN	FEATS	Number=Plur	Gender=Fem|Number=Plur
S0009	28	2023.traducao	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0009	30	microondas	NOUN	FEATS	Number=Plur	Gender=Fem|Number=Plur
S0009	46	microondas	NOUN	FEATS	Number=Sing	Gender=Fem|Number=Plur
S0009	49	pais	NOUN	LEMMA	pais	pai
S0009	49	pais	NOUN	FEATS	Gender=Masc|Number=Sing	Gender=Masc|Number=Plur
S0013	7	microondas	NOUN	FEATS	Gender=Masc|Number=Sing	Gender=Fem|Number=Plur
S0013	66	descobertas	NOUN	LEMMA	descoberta	descoberto
S0013	79	microondas	NOUN	FEATS	Gender=Masc	Gender=Fem|Number=Plur
S0015	8	micro-ondas	NOUN	LEMMA	micrO-ondas	micro-ondas
S0017	12	microondas	NOUN	FEATS	Gender=Masc|Number=Sing	Gender=Fem|Number=Plur

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 9
Fchanged - fixed: 18
