S0001	9	7h	NOUN	LEMMA	7H	7h
S0001	9	7h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0001	11	10h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0001	20	cientes	ADJ	LEMMA	cient	ciente
S0003	2	7:00h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0003	4	10:00h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0003	13	10:00h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0003	15	17:00h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0005	15	cientes	ADJ	LEMMA	cient	ciente
S0007	12	10:00hs	NOUN	LEMMA	10:00h	10:00hs
S0007	12	10:00hs	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0007	66	sociaisno	DET	FEATS	_	PronType=Art
S0011	1	dr.	NOUN	FEATS	Abbr=Yes|Gender=Masc|Number=Sing	_

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 4
Fchanged - fixed: 9
