S0001	1	michelle	PROPN	LEMMA	Michelle	michelle
S0001	8	usp	NOUN	LEMMA	USP	usp
S0001	22	michele	PROPN	LEMMA	Michele	michele
S0003	3	doutoranda	NOUN	LEMMA	doutorand	doutorando
S0003	18	sinais	NOUN	LEMMA	sinai	sinal
S0005	19	dama	NOUN	LEMMA	damo	dama
S0005	32	“bom	ADJ	FEATS	Gender=Masc|Number=Sing	_
S0009	5	pra	ADP	LEMMA	pra	para
S0009	5	pra	ADP	FEATS	Abbr=Yes	_
S0011	3	pra	ADP	LEMMA	pra	para
S0011	3	pra	ADP	FEATS	Abbr=Yes	_
S0013	5	pra	ADP	LEMMA	pra	para
S0013	5	pra	ADP	FEATS	Abbr=Yes	_
S0015	5	pra	ADP	LEMMA	pra	para
S0015	5	pra	ADP	FEATS	Abbr=Yes	_

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 10
Fchanged - fixed: 5
