S0003	17	patente	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0009	12	Exmo	PROPN	LEMMA	exmo	Exmo
S0009	17	Corrija	VERB	LEMMA	corrijer	corrigir
S0009	25	estiver	AUX	LEMMA	estiver	estar
S0009	42	VExa	PROPN	LEMMA	Vexa	VExa
S0011	1	Repito	VERB	LEMMA	repizer	repetir
S0011	6	corrija	VERB	LEMMA	corrijir	corrigir
S0011	13	estiver	AUX	LEMMA	estiver	estar
S0017	56	TODOS	DET	LEMMA	TODOS	todo
S0019	5	VExa	PROPN	LEMMA	Vexa	VExa
S0019	30	PROFISSIONAIS	ADJ	LEMMA	PROFISSIONAIS	profissional
S0021	12	SEMPRE	ADV	LEMMA	SEMPRE	sempre
S0021	23	NECESSÁRIO	ADJ	LEMMA	NECESSÁRIO	necessário
S0021	37	estiverem	AUX	LEMMA	estiver	estar
S0021	38	dominadas	VERB	LEMMA	dominado	dominar
S0021	70	VExa	PROPN	LEMMA	Vexa	VExa
S0023	43	deveres	NOUN	LEMMA	devere	dever
S0025	71	VExa	PROPN	LEMMA	Vexa	VExa
S0027	1	Sugiro	VERB	LEMMA	sugirar	sugerir
S0027	4	Sr	PROPN	LEMMA	SR	Sr
S0027	69	VExa	PROPN	LEMMA	Vexa	VExa

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 20
Fchanged - fixed: 1
