S0011	19	anunciado	ADJ	LEMMA	anunciar	anunciado
S0013	15	habitantes–	PUNCT	LEMMA	HABITANTES–	habitantes–
S0013	36	habitantes–	PUNCT	LEMMA	HABITANTES–	habitantes–
S0013	37	levada	NOUN	LEMMA	levada	levado
S0013	43	vergel	NOUN	FEATS	Gender=Fem|Number=Sing	Gender=Masc|Number=Sing
S0013	47	habitantes–	PUNCT	LEMMA	HABITANTES–	habitantes–
S0017	23	sal-gema	NOUN	LEMMA	sal-gemA	sal-gema
S0017	28	pela	ADP	FEATS	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	_

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 6
Fchanged - fixed: 2
