S0001	4	maia	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0001	8	tv	NOUN	LEMMA	tv	televisão
S0001	8	tv	NOUN	FEATS	Gender=Fem|Number=Sing	Abbr=Yes|Gender=Fem|Number=Sing
S0001	18	tv	NOUN	LEMMA	tv	televisão
S0001	18	tv	NOUN	FEATS	Gender=Fem|Number=Sing	Abbr=Yes|Gender=Fem|Number=Sing
S0001	46	tv	NOUN	LEMMA	tv	televisão
S0001	46	tv	NOUN	FEATS	Gender=Fem|Number=Sing	Abbr=Yes|Gender=Fem|Number=Sing

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 3
Fchanged - fixed: 4
