S0001	1	lula	PROPN	LEMMA	Lula	lula
S0001	5	r	NOUN	FEATS	Gender=Masc	Gender=Masc|Number=Sing
S0001	8	r	NOUN	FEATS	Gender=Masc	Gender=Masc|Number=Sing
S0003	6	r	NOUN	FEATS	Gender=Masc	Gender=Masc|Number=Sing
S0003	15	r	NOUN	FEATS	Abbr=Yes|Gender=Masc	Gender=Masc|Number=Sing
S0007	6	r	NOUN	FEATS	Gender=Masc	Gender=Masc|Number=Sing
S0007	15	r	NOUN	FEATS	Abbr=Yes|Gender=Masc	Gender=Masc|Number=Sing

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 1
Fchanged - fixed: 6
