S0001	1	amazon	PROPN	LEMMA	Amazon	amazon
S0001	6	natal	NOUN	FEATS	Number=Sing	Gender=Masc|Number=Sing
S0005	5	natal	NOUN	FEATS	Number=Sing	Gender=Masc|Number=Sing
S0009	10	natal	NOUN	FEATS	Number=Sing	Gender=Masc|Number=Sing
S0013	9	natal	NOUN	FEATS	Number=Sing	Gender=Masc|Number=Sing
S0015	10	voce	PRON	FEATS	_	PronType=Dem
S0017	1	comeca	VERB	FEATS	Gender=Fem|Number=Sing	Gender=Fem|Number=Sing|VerbForm=Fin
S0021	5	e	CCONJ	FEATS	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	_
S0021	9	siga	VERB	LEMMA	siger	seguir
S0023	10	whatsapp	X	FEATS	Foreign=Yes|Gender=Masc|Number=Sing	Foreign=Yes
S0023	18	natal	NOUN	FEATS	Number=Sing	Gender=Masc|Number=Sing
S0023	30	whatsapp	X	FEATS	Foreign=Yes|Gender=Masc|Number=Sing	Foreign=Yes
S0023	53	natal	NOUN	FEATS	Number=Sing	Gender=Masc|Number=Sing
S0031	3	quiser	VERB	LEMMA	quiser	querer
S0031	23	whatsapp	NOUN	LEMMA	wHatsapp	whatsapp

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 4
Fchanged - fixed: 11
