# sent_id = 1193-1
# text = mesmo com pandemia, julho de 22 teve menos mortes de o que julho de 219
1	mesmo	ADV	99.62%
2	com	ADP	100.00%
3	pandemia	NOUN	100.00%
4	,	PUNCT	100.00%
5	julho	NOUN	100.00%
6	de	ADP	100.00%
7	22	NUM	100.00%
8	teve	VERB	100.00%
9	menos	DET	99.94%
10	mortes	NOUN	100.00%
11	de	ADP	100.00%
12	o	PRON	99.98%
13	que	PRON	99.91%
14	julho	NOUN	100.00%
15	de	ADP	100.00%
16	219	NUM	100.00%

# sent_id = 1193-2
# text = óbitos em o brasil: julho de 219 – sem pandemia – 119.39 – julho 22 113.475, mais mortes em 219 de o que em 22 com a pandemia
1	óbitos	NOUN	100.00%
2	em	ADP	100.00%
3	o	DET	100.00%
4	brasil	NOUN	99.94%
5	:	PUNCT	100.00%
6	julho	NOUN	100.00%
7	de	ADP	100.00%
8	219	NUM	100.00%
9	–	PUNCT	100.00%
10	sem	ADP	100.00%
11	pandemia	NOUN	100.00%
12	–	PUNCT	100.00%
13	119.39	NUM	99.99%
14	–	PUNCT	100.00%
15	julho	NOUN	99.99%
16	22	NUM	100.00%
17	113.475	NUM	99.99%
18	,	PUNCT	100.00%
19	mais	DET	99.77%
20	mortes	NOUN	100.00%
21	em	ADP	100.00%
22	219	NUM	100.00%
23	de	ADP	100.00%
24	o	PRON	99.98%
25	que	PRON	99.95%
26	em	ADP	100.00%
27	22	NUM	100.00%
28	com	ADP	100.00%
29	a	DET	100.00%
30	pandemia	NOUN	100.00%
