S0001	5	ritual	NOUN	FEATS	Gender=Masc|Number=Sing	Number=Sing
S0001	13	mágico-religioso	ADJ	LEMMA	mágIco-religioso	mágico-religioso
S0003	21	rituais	NOUN	LEMMA	rituai	ritual
S0003	21	rituais	NOUN	FEATS	Gender=Masc|Number=Plur	Number=Plur
S0005	9	complementares	ADJ	LEMMA	complementarl	complementar
S0011	38	rituais	NOUN	LEMMA	rituai	ritual
S0011	38	rituais	NOUN	FEATS	Gender=Masc|Number=Plur	Number=Plur
S0015	26	descoberta	NOUN	LEMMA	descoberta	descoberto
S0019	19	rituais	NOUN	LEMMA	rituai	ritual
S0019	19	rituais	NOUN	FEATS	Gender=Masc|Number=Plur	Number=Plur
S0021	39	rituais	ADJ	LEMMA	rituai	ritual

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 7
Fchanged - fixed: 4
