S0003	8	cujos	DET	FEATS	Gender=Masc|Number=Sing|PronType=Rel	Gender=Masc|Number=Plur|PronType=Rel
S0007	3	segunda	NOUN	LEMMA	segunda-feira	segundo
S0009	26	envolvido	VERB	LEMMA	envolvir	envolver
S0011	8	Rede	PROPN	LEMMA	REDE	Rede
S0011	42	envolvidos	VERB	LEMMA	envolvir	envolver
S0031	14	aberta	VERB	LEMMA	aberr	abrir
S0033	28	envolvido	VERB	LEMMA	envolvir	envolver

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 6
Fchanged - fixed: 1
