S0005	25	Vossa	DET	FEATS	Gender=Fem|Number=Sing|Person=1|Poss=Yes|PronType=Prs	Gender=Fem|Number=Sing|Person=2|Poss=Yes|PronType=Prs
S0007	5	vossa	DET	FEATS	Gender=Fem|Number=Sing|Person=1|Poss=Yes|PronType=Prs	Gender=Fem|Number=Sing|Person=2|Poss=Yes|PronType=Prs
S0007	53	saia	VERB	LEMMA	saiir	sair
S0007	61	vossa	DET	FEATS	Gender=Fem|Number=Sing|Person=1|Poss=Yes|PronType=Prs	Gender=Fem|Number=Sing|Person=2|Poss=Yes|PronType=Prs
S0007	73	vossa	DET	FEATS	Gender=Fem|Number=Sing|Person=1|Poss=Yes|PronType=Prs	Gender=Fem|Number=Sing|Person=2|Poss=Yes|PronType=Prs
S0007	91	vossa	DET	FEATS	Gender=Fem|Number=Sing|Person=1|Poss=Yes|PronType=Prs	Gender=Fem|Number=Sing|Person=2|Poss=Yes|PronType=Prs

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 1
Fchanged - fixed: 5
