S0001	2	chinesas	ADJ	LEMMA	chinês	chinÃªs
S0001	35	o	DET	FEATS	_	Definite=Def|Gender=Masc|Number=Sing|PronType=Art
S0007	3	voce	PRON	FEATS	_	PronType=Dem
S0035	3	voce	PRON	FEATS	_	PronType=Dem
S0039	1	voce	PRON	FEATS	_	PronType=Dem
S0039	23	corrente	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0039	30	quiser	VERB	LEMMA	quiser	querer
S0039	32	voce	PRON	FEATS	_	PronType=Dem
S0045	2	e	CCONJ	LEMMA	ser	e
S0045	2	e	CCONJ	FEATS	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	_
S0045	7	e	CCONJ	FEATS	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	_

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 3
Fchanged - fixed: 8
