S0001	50	armadas	ADJ	FEATS	Gender=Fem|Number=Plur	Gender=Fem|Number=Plur|VerbForm=Part
S0003	14	tava	AUX	LEMMA	tava	estar
S0007	6	pra	ADP	LEMMA	pra	para
S0007	6	pra	ADP	FEATS	Abbr=Yes	_
S0009	1	estiveram	AUX	LEMMA	estiveram	estar
S0009	5	segunda	NOUN	LEMMA	segunda-feira	segundo
S0009	7	sexta	NOUN	LEMMA	sexta-feira	sexto
S0009	28	pra	ADP	LEMMA	pra	para
S0009	28	pra	ADP	FEATS	Abbr=Yes	_
S0011	8	pra	ADP	LEMMA	pra	para
S0011	8	pra	ADP	FEATS	Abbr=Yes	_
S0015	6	pra	ADP	LEMMA	pra	para
S0015	6	pra	ADP	FEATS	Abbr=Yes	_
S0017	23	puder	VERB	LEMMA	puder	poder
S0017	24	pra	ADP	LEMMA	pra	para
S0017	24	pra	ADP	FEATS	Abbr=Yes	_
S0017	34	der	VERB	LEMMA	der	dar
S0019	7	pra	ADP	LEMMA	pra	para
S0019	7	pra	ADP	FEATS	Abbr=Yes	_

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 12
Fchanged - fixed: 7
