S0001	5	RedeTV	PROPN	LEMMA	REDETV	RedeTV
S0003	9	litoral	NOUN	FEATS	Gender=Masc|Number=Sing	Number=Sing
S0003	32	terça-feira	NOUN	LEMMA	terça-fEira	terça-feira
S0005	15	sofisticada	ADJ	FEATS	Gender=Fem|Number=Sing	Gender=Fem|Number=Sing|VerbForm=Part
S0005	27	litoral	NOUN	FEATS	Gender=Masc|Number=Sing	Number=Sing
S0011	5	fama	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0021	13	recorde	NOUN	FEATS	Gender=Masc|Number=Sing	Number=Sing

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 2
Fchanged - fixed: 5
