S0003	40	litoral	NOUN	FEATS	Gender=Masc|Number=Sing	Number=Sing
S0055	13	surpresa	ADJ	LEMMA	surpresa	surpreso
S0083	1	Garanta	VERB	LEMMA	garanter	garantir
S0085	11	2o	ADJ	FEATS	Gender=Masc|Number=Sing	Gender=Masc|NumType=Ord
S0085	18	Meia-entrada	NOUN	LEMMA	meia-enTrada	meia-entrada
S0085	20	6o	ADJ	FEATS	Gender=Masc|Number=Sing|NumType=Ord	Gender=Masc|NumType=Ord
S0085	46	2o	ADJ	FEATS	Gender=Masc|Number=Sing|NumType=Ord	Gender=Masc|NumType=Ord
S0085	53	Meia-entrada	NOUN	LEMMA	meia-enTrada	meia-entrada
S0085	56	5o	ADJ	FEATS	Gender=Masc|Number=Sing|NumType=Ord	Gender=Masc|NumType=Ord
S0085	68	2o	ADJ	FEATS	Gender=Masc|Number=Sing|NumType=Ord	Gender=Masc|NumType=Ord
S0085	80	Sexta	NOUN	LEMMA	sexta-feira	sexto

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 5
Fchanged - fixed: 6
