S0007	11	“jeito”	ADJ	FEATS	Gender=Masc|Number=Sing	_
S0009	4	lula	NOUN	FEATS	_	Gender=Fem|Number=Sing
S0009	25	lula	NOUN	FEATS	_	Gender=Fem|Number=Sing
S0011	3	lula	NOUN	FEATS	_	Gender=Fem|Number=Sing
S0013	6	lula	NOUN	FEATS	_	Gender=Fem|Number=Sing
S0013	17	pra	ADP	LEMMA	pra	para
S0013	17	pra	ADP	FEATS	Abbr=Yes	_
S0013	18	ti	PRON	FEATS	Case=Dat|Number=Sing|Person=1|PronType=Prs	Case=Dat|Number=Sing|Person=2|PronType=Prs
S0045	12	pra	ADP	LEMMA	pra	para
S0045	12	pra	ADP	FEATS	Abbr=Yes	_
S0045	13	p…	NOUN	FEATS	Gender=Masc	_
S0045	18	c…	NOUN	FEATS	Gender=Masc	_
S0047	6	p…	NOUN	FEATS	Gender=Masc	_
S0047	8	c…	NOUN	FEATS	Gender=Masc	_
S0051	4	feita	ADJ	LEMMA	fazer	feito
S0051	6	m…	NOUN	FEATS	Gender=Masc	_
S0057	10	p…	NOUN	FEATS	Gender=Masc	_
S0057	13	sem-vergonha	NOUN	LEMMA	sem-Vergonha	sem-vergonha
S0063	9	m…	NOUN	FEATS	Gender=Masc	_
S0063	13	defesa…	VERB	FEATS	_	VerbForm=Fin
S0069	5	p…	NOUN	FEATS	Gender=Masc	_
S0071	3	p…	NOUN	FEATS	Gender=Masc	_
S0071	6	c…	NOUN	FEATS	Gender=Masc	_
S0073	1	tamo	AUX	FEATS	Abbr=Yes|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 4
Fchanged - fixed: 20
