S0001	6	surpresa	ADJ	LEMMA	surpresa	surpreso
S0001	9	vice	NOUN	FEATS	Gender=Masc|Number=Sing	Number=Sing
S0003	49	chapa	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0005	3	reconhecido	VERB	LEMMA	reconhecir	reconhecer
S0009	21	chapa	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0009	37	chapa	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0017	7	chapa	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 2
Fchanged - fixed: 5
