S0005	22	corrente	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0013	8	pra	ADP	LEMMA	pra	para
S0013	8	pra	ADP	FEATS	Abbr=Yes	_
S0015	4	pra	ADP	LEMMA	pra	para
S0015	4	pra	ADP	FEATS	Abbr=Yes	_
S0027	5	culpado	ADJ	FEATS	Gender=Masc|Number=Sing	Gender=Masc|Number=Sing|VerbForm=Part
S0029	14	pra	ADP	LEMMA	pra	para
S0029	14	pra	ADP	FEATS	Abbr=Yes	_
S0031	2	devo	VERB	LEMMA	devor	dever

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 4
Fchanged - fixed: 5
