S0011	19	Suspende	VERB	LEMMA	suspendir	suspender
S0013	21	art.	PUNCT	LEMMA	ART.	art.
S0015	7	I	ADJ	LEMMA	I	i
S0015	9	IV	ADJ	LEMMA	IV	iv
S0015	9	IV	ADJ	FEATS	NumType=Card	_
S0015	16	art.	NOUN	LEMMA	ART.	artigo
S0017	4	VIII	ADJ	LEMMA	VIII	viii
S0017	4	VIII	ADJ	FEATS	NumType=Card	_
S0017	49	Art.	PUNCT	LEMMA	ART.	Art.
S0019	1	1o	NOUN	FEATS	Gender=Masc|Number=Sing	_
S0019	13	relativas	ADJ	FEATS	Gender=Fem|Number=Plur|VerbForm=Part	Gender=Fem|Number=Plur
S0019	35	quaisquer	DET	LEMMA	quaisque	qualquer
S0019	35	quaisquer	DET	FEATS	Number=Sing|PronType=Ind	Number=Plur|PronType=Ind
S0019	72	I	ADJ	LEMMA	I	i
S0019	85	II	ADJ	LEMMA	II	ii
S0019	85	II	ADJ	FEATS	NumType=Card	_
S0019	103	III	ADJ	LEMMA	III	iii
S0019	103	III	ADJ	FEATS	NumType=Card	_
S0019	111	IV	ADJ	LEMMA	IV	iv
S0019	111	IV	ADJ	FEATS	NumType=Card	_
S0019	121	V	NUM	LEMMA	V	v
S0025	1	Art.	PUNCT	LEMMA	ART.	Art.
S0027	1	2o	ADJ	FEATS	Gender=Masc|Number=Sing	Gender=Masc|NumType=Ord
S0027	28	art.	PUNCT	LEMMA	ART.	art.
S0027	28	art.	PUNCT	FEATS	Abbr=Yes|Gender=Masc|Number=Sing	_
S0029	1	1o	ADJ	FEATS	Gender=Masc|Number=Sing|NumType=Ord	Gender=Masc|NumType=Ord
S0029	3	Art.	PUNCT	LEMMA	ART.	Art.
S0029	3	Art.	PUNCT	FEATS	Abbr=Yes|Gender=Masc|Number=Sing	_
S0031	1	3o	NOUN	FEATS	Gender=Masc|Number=Sing	_
S0033	1	Art.	PUNCT	LEMMA	ART.	Art.

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 17
Fchanged - fixed: 13
