S0001	6	variantes	NOUN	LEMMA	varianão	variante
S0001	6	variantes	NOUN	FEATS	Gender=Fem|Number=Plur	Number=Plur
S0001	9	covid-19	NUM	LEMMA	COVID-19	covid-19
S0003	1	dr.	NOUN	FEATS	Abbr=Yes|Gender=Masc|Number=Sing	_
S0003	17	covid-19	NUM	LEMMA	COVID-19	covid-19
S0003	34	covid-19	NUM	LEMMA	COVID-19	covid-19
S0005	4	explicado	ADJ	LEMMA	explicar	explicado
S0005	36	covid-19	NUM	LEMMA	COVID-19	covid-19
S0007	2	covid-19	NUM	LEMMA	COVID-19	covid-19

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 7
Fchanged - fixed: 2
