S0001	25	segunda	NOUN	LEMMA	segunda-feira	segundo
S0001	54	brasil	NOUN	FEATS	_	Gender=Masc|Number=Sing
S0001	73	r	NOUN	FEATS	Gender=Masc	Gender=Masc|Number=Sing
S0001	122	r	NOUN	LEMMA	R	r
S0001	122	r	NOUN	FEATS	Gender=Masc	Gender=Masc|Number=Sing
S0001	143	r	NOUN	FEATS	Gender=Masc	Gender=Masc|Number=Sing
S0003	23	r	NOUN	FEATS	Gender=Masc	Gender=Masc|Number=Sing
S0003	31	r	NOUN	FEATS	_	Gender=Masc|Number=Sing
S0003	38	brasil	NOUN	FEATS	_	Gender=Masc|Number=Sing
S0003	39	qr	ADJ	LEMMA	QR	qr
S0003	54	r	NOUN	FEATS	Gender=Masc	Gender=Masc|Number=Sing
S0003	71	r	NOUN	FEATS	Gender=Masc	Gender=Masc|Number=Sing
S0003	76	r	NOUN	FEATS	Gender=Masc	Gender=Masc|Number=Sing
S0003	80	qr	ADJ	LEMMA	QR	qr
S0003	85	r	NOUN	FEATS	_	Gender=Masc|Number=Sing
S0003	87	qr	X	LEMMA	QR	qr
S0003	87	qr	X	FEATS	Gender=Masc|NumType=Ord	_
S0003	101	r	NOUN	FEATS	Gender=Masc	Gender=Masc|Number=Sing
S0003	110	r	NOUN	FEATS	Gender=Masc	Gender=Masc|Number=Sing
S0005	3	l	NOUN	LEMMA	l	litro
S0005	3	l	NOUN	FEATS	Gender=Masc|Number=Sing	Abbr=Yes|Gender=Masc
S0005	6	l	NOUN	LEMMA	l	litro
S0005	6	l	NOUN	FEATS	Gender=Masc|Number=Sing	Abbr=Yes|Gender=Masc

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 7
Fchanged - fixed: 16
