S0001	12	Remarei	VERB	LEMMA	remazer	remar
S0001	12	Remarei	VERB	FEATS	Mood=Ind|Number=Sing|Person=1|Tense=Past|VerbForm=Fin	Mood=Ind|Number=Sing|Person=1|Tense=Fut|VerbForm=Fin
S0001	16	mer#$	SYM	LEMMA	MER#$	mer#$
S0001	18	ti	PRON	FEATS	Case=Dat|Number=Sing|Person=1|PronType=Prs	Case=Dat|Number=Sing|Person=2|PronType=Prs
S0007	39	Remarei	VERB	FEATS	Mood=Ind|Number=Sing|Person=1|Tense=Past|VerbForm=Fin	Mood=Ind|Number=Sing|Person=1|Tense=Fut|VerbForm=Fin
S0007	43	mer#$	SYM	LEMMA	MER#$	mer#$
S0007	45	ti	PRON	FEATS	Case=Dat|Number=Sing|Person=1|PronType=Prs	Case=Dat|Number=Sing|Person=2|PronType=Prs

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 3
Fchanged - fixed: 4
