S0001	16	dilson	PROPN	LEMMA	Dilson	dilson
S0005	13	quinhentas	NUM	LEMMA	quinhento	quinhentos
S0005	13	quinhentas	NUM	FEATS	NumType=Card	Gender=Fem|NumType=Card
S0011	10	tava	AUX	LEMMA	tava	estar
S0027	2	pra	ADP	LEMMA	pra	para
S0027	2	pra	ADP	FEATS	Abbr=Yes	_
S0037	4	brasil…	PUNCT	LEMMA	BRASIL…	brasil…
S0037	13	dirceu…	PUNCT	LEMMA	DIRCEU…	dirceu…
S0039	2	pra	ADP	LEMMA	pra	para
S0039	2	pra	ADP	FEATS	Abbr=Yes	_
S0043	28	pra	ADP	LEMMA	pra	para
S0043	28	pra	ADP	FEATS	Abbr=Yes	_
S0045	1	pra	ADP	LEMMA	pra	para
S0045	1	pra	ADP	FEATS	Abbr=Yes	_
S0045	6	pra	ADP	LEMMA	pra	para
S0045	6	pra	ADP	FEATS	Abbr=Yes	_
S0047	1	pra	ADP	LEMMA	pra	para
S0047	1	pra	ADP	FEATS	Abbr=Yes	_
S0049	12	pra	ADP	LEMMA	pra	para
S0049	12	pra	ADP	FEATS	Abbr=Yes	_
S0049	18	pra	ADP	LEMMA	pra	para
S0049	18	pra	ADP	FEATS	Abbr=Yes	_
S0053	20	argentina	NOUN	LEMMA	argentina	argentino
S0055	5	pra	ADP	LEMMA	pra	para
S0055	5	pra	ADP	FEATS	Abbr=Yes	_
S0055	8	r$1,62	NUM	LEMMA	R$1,62	r$1,62
S0057	1	r$1,62	NUM	LEMMA	R$1,62	r$1,62
S0067	6	diretor-chefes	NOUN	LEMMA	diretor-Chefes	diretor-chefes
S0067	13	superintendentes	NOUN	FEATS	Gender=Masc|Number=Plur	Number=Plur
S0075	1	pronto	ADJ	FEATS	_	Gender=Masc|Number=Sing
S0079	4	olha	INTJ	FEATS	Mood=Imp|Number=Sing|Person=2|VerbForm=Fin	Mood=Imp|Number=Sing|Person=2
S0081	11	entendeu	VERB	LEMMA	entendar	entender
S0085	9	entendeu	VERB	LEMMA	entendar	entender
S0107	8	#ff;><em>presidente	NOUN	FEATS	Number=Sing	_
S0121	10	souberam	VERB	LEMMA	souber	saber

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 21
Fchanged - fixed: 14
