S0001	14	comunistas	NOUN	FEATS	_	Number=Plur
S0007	14	certos	DET	LEMMA	certm	certos
S0015	6	escrita	VERB	LEMMA	escrir	escrever
S0015	10	derruba	VERB	LEMMA	derruba	derrubar
S0015	40	mantem	VERB	LEMMA	manter	mantar
S0021	14	e	CCONJ	FEATS	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	_
S0027	3	quiser	VERB	LEMMA	quiser	querer
S0027	51	siga	VERB	LEMMA	sigir	seguir
S0027	55	facebookhttp://bit.ly/2ou3zwz	PROPN	LEMMA	FACEBOOKHTTP://BIT.LY/2OU3ZWZ	facebookhttp://bit.ly/2ou3zwz
S0027	56	siga	VERB	LEMMA	sigir	seguir
S0027	61	siga	VERB	LEMMA	sigir	seguir
S0027	66	siga	VERB	LEMMA	sigir	seguir

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 10
Fchanged - fixed: 2
