S0005	9	renomada	ADJ	FEATS	Gender=Fem|Number=Sing|VerbForm=Part	Gender=Fem|Number=Sing
S0005	32	especiais	ADJ	LEMMA	especiai	especial
S0007	6	missa	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0007	17	1o	NOUN	FEATS	Gender=Masc|NumType=Ord	_
S0007	22	16h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0009	10	16h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0009	35	TV	NOUN	LEMMA	tv	televisão
S0009	35	TV	NOUN	FEATS	Gender=Fem|Number=Sing	Abbr=Yes|Gender=Fem|Number=Sing
S0011	15	missa	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0011	26	15h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0011	31	show-surpresa	NOUN	LEMMA	show-Surpresa	show-surpresa
S0013	4	missas	NOUN	FEATS	Gender=Fem|Number=Plur	Number=Plur
S0015	7	21h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0015	10	sexta-feira	NOUN	LEMMA	sexta-Feira	sexta-feira
S0015	16	20h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0015	49	Marie-Ange	PROPN	LEMMA	Marie-ange	Marie-Ange
S0019	26	missas	NOUN	FEATS	Gender=Fem|Number=Plur	Number=Plur
S0023	4	missas	NOUN	FEATS	Gender=Fem|Number=Plur	Number=Plur
S0025	13	s/no	NOUN	FEATS	Abbr=Yes|Gender=Masc	_

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 5
Fchanged - fixed: 14
