S0003	4	10h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0013	15	cardiovasculares	ADJ	LEMMA	cardiovascularl	cardiovascular
S0021	5	dormem	VERB	LEMMA	dormer	dormir
S0031	18	restritos	ADJ	FEATS	Gender=Masc|Number=Plur|VerbForm=Part	Gender=Masc|Number=Plur
S0037	61	dormem	VERB	LEMMA	dormer	dormir
S0039	14	dormem	VERB	LEMMA	dormer	dormir
S0047	8	dormem	VERB	LEMMA	dormer	dormir
S0051	5	dormem	VERB	LEMMA	dormer	dormir
S0055	25	cardiovasculares	ADJ	LEMMA	cardiovascularl	cardiovascular

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 7
Fchanged - fixed: 2
