S0005	2	eh	PROPN	LEMMA	EH	eh
S0009	21	pra	ADP	LEMMA	pra	para
S0009	21	pra	ADP	FEATS	Abbr=Yes	_
S0009	40	eh	AUX	FEATS	Abbr=Yes	VerbForm=Fin
S0011	4	pra	ADP	LEMMA	pra	para
S0011	4	pra	ADP	FEATS	Abbr=Yes	_
S0021	13	tá	INTJ	FEATS	Abbr=Yes|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	Abbr=Yes|Mood=Ind|Number=Sing|Person=3|Tense=Pres
S0031	20	pra	ADP	LEMMA	pra	para
S0031	20	pra	ADP	FEATS	Abbr=Yes	_
S0031	21	pra	ADP	LEMMA	pra	para
S0031	21	pra	ADP	FEATS	Abbr=Yes	_
S0031	25	pra	ADP	LEMMA	pra	para
S0031	25	pra	ADP	FEATS	Abbr=Yes	_

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 6
Fchanged - fixed: 7
