S0005	50	surpresa	ADJ	LEMMA	surpresa	surpreso
S0009	1	3a	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	_
S0009	6	18h/4h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0011	4	aceitos	VERB	LEMMA	aceir	aceitar
S0013	1	Alerta	NOUN	FEATS	_	Number=Sing
S0013	5	#SomosTodos	PROPN	LEMMA	#somostodos	#SomosTodos
S0013	6	HappyHour	PROPN	LEMMA	Happyhour	HappyHour
S0015	7	bares	NOUN	LEMMA	bare	bar
S0017	21	ml	NOUN	LEMMA	ml	mililitro
S0017	21	ml	NOUN	FEATS	Gender=Masc	Abbr=Yes|Gender=Masc
S0023	3	bit.ly/somostodoshh	NOUN	LEMMA	BIt.ly/somostodoshh	bit.ly/somostodoshh
S0025	33	frita	ADJ	FEATS	Gender=Fem|Number=Sing	Gender=Fem|Number=Sing|VerbForm=Part
S0031	4	17h/2h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0031	6	sáb.	NOUN	FEATS	Abbr=Yes|Gender=Masc	_
S0031	8	12h/3h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0031	10	dom.	NOUN	FEATS	Abbr=Yes|Gender=Masc	_
S0031	12	12h/22h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0041	1	12h/2h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0041	2	dom.	PUNCT	LEMMA	DOM.	dom.
S0043	2	fer	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	Gender=Fem|Number=Sing
S0043	3	.	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0043	5	12h/24h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0049	33	costelinhas	NOUN	LEMMA	costelinha	costelinho
S0049	36	especiais	ADJ	LEMMA	especiai	especial
S0053	1	11h/1h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0055	4	aceitos	VERB	LEMMA	aceir	aceitar
S0057	1	Happy	X	LEMMA	happy	Happy
S0059	7	calabresa	NOUN	LEMMA	calabresa	calabrÃªs
S0061	8	17h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0061	11	21h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0067	1	17h/1h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0067	3	6a	NOUN	LEMMA	6A	6a
S0067	3	6a	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	_
S0067	5	sáb.	NOUN	FEATS	Abbr=Yes|Gender=Masc	_
S0067	8	2h	NOUN	LEMMA	2H	2h
S0067	8	2h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0067	10	dom.	NOUN	FEATS	Abbr=Yes|Gender=Masc	_
S0067	12	13h/23h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0073	15	importada	ADJ	LEMMA	importar	importado
S0073	29	curte	VERB	LEMMA	curter	curtir
S0075	1	Al.	PUNCT	LEMMA	AL.	Al.
S0079	1	19h30/últ	NOUN	FEATS	Abbr=Yes|Gender=Masc	_
S0089	1	11h30/1h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0089	2	sáb.	NOUN	FEATS	Abbr=Yes|Gender=Masc	_
S0089	5	22h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0089	7	dom.	PUNCT	LEMMA	DOM.	dom.
S0091	2	fer	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	Gender=Fem|Number=Sing
S0091	3	.	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0091	6	20h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0093	3	Happy	X	LEMMA	happy	Happy
S0101	1	6h/2h	NOUN	LEMMA	6H/2h	6h/2h
S0101	1	6h/2h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0101	3	sáb.	NOUN	FEATS	Abbr=Yes|Gender=Masc	_
S0101	6	3h	NOUN	LEMMA	3H	3h
S0101	6	3h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0101	8	dom.	NOUN	FEATS	Abbr=Yes|Gender=Masc	_
S0101	11	1h	NOUN	LEMMA	1H	1h
S0101	11	1h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0103	1	Sr.	NOUN	LEMMA	Sr.	senhor
S0105	10	calabresa	ADJ	LEMMA	calabreso	calabrÃªs
S0107	8	mostarda	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0111	2	especiais	ADJ	LEMMA	especiai	especial
S0111	4	17h/4h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0111	6	6a	NOUN	LEMMA	6A	6a
S0111	6	6a	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	_
S0111	8	sáb.	NOUN	FEATS	Abbr=Yes|Gender=Masc	_
S0111	11	5h	NOUN	LEMMA	5H	5h
S0111	11	5h	NOUN	FEATS	Gender=Fem|Number=Plur	_

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 28
Fchanged - fixed: 40
