S0001	1	adidas	PROPN	LEMMA	Adidas	adidas
S0001	16	adidas	NOUN	LEMMA	adidas	adido
S0001	16	adidas	NOUN	FEATS	Gender=Fem|Number=Sing	Gender=Fem|Number=Plur
S0001	17	adidas	NOUN	LEMMA	adidas	adido
S0001	17	adidas	NOUN	FEATS	Gender=Fem|Number=Sing	Gender=Fem|Number=Plur
S0009	16	adidas	NOUN	LEMMA	adidas	adido
S0009	16	adidas	NOUN	FEATS	Gender=Fem|Number=Sing	Gender=Fem|Number=Plur

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 4
Fchanged - fixed: 3
