S0005	3	MÚSICA	NOUN	LEMMA	MÚSICA	música
S0005	24	sexta	NOUN	LEMMA	sexta-feira	sexto
S0005	33	22h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0007	24	FractaLL	PROPN	LEMMA	FRACTALL	FractaLL
S0013	7	inteira	NOUN	LEMMA	inteira	inteiro
S0013	13	meia	NOUN	LEMMA	meio	meia
S0015	35	19h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0019	3	FESTA	NOUN	LEMMA	FESTA	festa
S0019	26	22h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0021	5	conhecido	ADJ	LEMMA	conhecer	conhecido
S0025	46	18h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0027	6	inteira	NOUN	LEMMA	inteira	inteiro
S0027	12	meia	NOUN	LEMMA	meio	meia
S0029	31	youtuber	NOUN	FEATS	Number=Sing	Foreign=Yes|Number=Sing
S0031	6	inteira	NOUN	LEMMA	inteira	inteiro
S0031	12	meia	NOUN	LEMMA	meio	meia
S0033	25	especiais	ADJ	LEMMA	especiai	especial
S0035	33	unem	VERB	LEMMA	uner	unir
S0037	6	meia	NOUN	LEMMA	meio	meia
S0037	12	inteira	NOUN	LEMMA	inteira	inteiro
S0045	8	TV	NOUN	LEMMA	tv	televisão
S0045	8	TV	NOUN	FEATS	Gender=Fem|Number=Sing	Abbr=Yes|Gender=Fem|Number=Sing
S0051	3	quarta	NOUN	LEMMA	quarta-feira	quarto
S0051	13	inteira	NOUN	LEMMA	inteira	inteiro
S0051	19	meia	NOUN	LEMMA	meio	meia
S0051	28	inteira	NOUN	LEMMA	inteira	inteiro
S0051	34	meia	NOUN	LEMMA	meio	meia
S0053	3	PRIMAVERA	NOUN	FEATS	_	Gender=Fem|Number=Sing
S0053	23	surpresa	ADJ	LEMMA	surpresa	surpreso
S0061	28	sexta	NOUN	LEMMA	sexta-feira	sexto
S0061	47	surpresa	ADJ	LEMMA	surpresa	surpreso

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 24
Fchanged - fixed: 7
